question,answer
bạn có thường nói_chuyện với bạn ấy thường_xuyên không,mình và bạn ấy nói_chuyện với nhau mỗi ngày
mai_mốt chỉ tao ráp máy_tính nha,được có gì nói tao
tết này bạn có muốn đi xem phim không,tất_nhiên rồi mình rất muốn
bạn có bạn_bè không,rất có
mua quần_áo mới cho tết,có
cuối tuần này đi xem phim không bạn,được chứ mình đi
đi đà lạt dễ bị cắm_sừng,thôi ở nhà
bạn có dự_định gì trong tương_lai không,tôi muốn chứng_minh bản_thân
cũng gần như thất_tình_vậy,đang kết nhỏ nào à
cậu học ngành gì vậy,tớ học công_nghệ thông_tin
châu_lục nào,châu á
thích coi hài không,tương_đối_thích
bạn thuê nhà ở đâu,nhà_bè
bạn có tính đi du_học không hay tiếp_tục học tại việt_nam,mình chưa biết nữa nhưng nếu có cơ_hội thì mình muốn đi du_học
gia_đình mấy người,6 người
phí học như thế_nào á,tùy_ngành nữa
nhà mày mấy người,4 người
tôi cũng rất vui khi được gặp bạn,thôi đã đến giờ vào lớp hẹn gặp bạn sau
xin chào bạn tên gì,mình tên đức
bạn có ở chung với ba mẹ không,có mình sống với ba_má
oke bạn vậy tối nay hẹn bạn lúc 7h30 nhé,oke bạn hẹn gặp lại bạn vào tối nay
bạn còn đi học hay không,mình còn đi học chứ mình học đại_học
có tính mua thêm gì không,có
bạn có thích không_khí ở quê mình chứ,mình rất thích không_khí ở quê mình vì nó mát_mẻ và trong_lành
bạn có đi suối tiên chưa,đi rồi
bạn học ở đâu,ở trường đại_học
where is your roomate,he went back to his hometown
mày tên gì,lễ
thường làm gì vào những ngày tết,ở nhà
vậy bạn thích đà lạt phải không,đúng_vậy
anhchị quê ở đâu,an_giang
viet nam nhu the_nao,con nguoi than thien thuc an phong phu
bạn thường đi du_lịch với ai,mình thường đi với gia_đình hoặc bạn_bè
xinh không,dễ_thương
học xong sớm đi chơi game không mày,xin_lỗi nay nhà tao có việc bận không đi được rồi
được lì_xì bao_nhiêu,tớ không tính
vải gì,len
thầy cô trong trường sao,nhiệt_tình
đi ăn gà rán kfc không,chời ơi tha cho tao đi
robot ơi robot biết câu vừng ơi hãy mở ra trong tác_phẩm nào không,trong tác_phẩm nghìn lẻ một đêm
mày đang học gì,it
đi bằng gì,tùy
khi nào mày về quê,tết tao về
đi ăn gì không,đi ăn sushi ở quận 5 đi
bạn tên gì,mình tên lan anh
bạn quan_trọng về ngoại_hình hay tính_cách,theo mình là cả hai
thuê nhà ở đâu,lê văn lương huỳnh tấn phát nhà_bè
quê bạn ở đâu,quê mình ở bắc_giang
tôi không biết phải đi đâu khi đến hà_nội,cậu nên đến hồ hoàn kiếm ít_nhất một lần
nhà mấy người,4
bạn sinh năm bao_nhiêu,2k2
bạn thích androi hay apple,mình thích androi
yêu nhau không,yêu_đương gì tầm này
vậy bạn giỏi nhất trong lĩnh_vực nào,tất_cả mọi lĩnh_vực từ toán_học đến cả sinh_vật_học
sương_gió phủ đời trai tương_lai nhờ … bạn có_thể điền vào chỗ,nhà vợ
em đi học buổi sáng chiều shop ship tầm tối cho e được không ạ,được nha em cảm_ơn em đã mua hàng
ừm tui cũng nghe bạn_bè nói về bộ đấy hay lắm không được bỏ lỡ,thế không biết ngoài thích xem phim ra bạn còn có sở_thích gì không nhỉ
ê nala mày thích ai nhất,chị như ạ
chi_nhánh nào,quận 1
mày học ở quận mấy,quận 7
bạn có thích con_người không,mình thích con_người
sao không đi biển đi cho gần,biển đi hoài à
thường đi chơi hay đi ăn đấy,đi ăn
bạn sẻ cưới cô ấy chứ,không biết
sao vậy,xa_cách người_yêu
bạn muốn đi ăn gì không,mình đi ăn sushi ở quận 5 đi
theo ông con gà có trước hay quả trứng có trước,con cu có trước
an_ninh không,có bảo_vệ nên an_ninh
bạn thấy thằng bạn chung phong bạn như nào,mất_dạy
còn bạn đã có người_yêu chưa,mình chưa có người_yêu
quê của bạn ở đâu_vậy,mình đến từ thành_phố phan rang
sáng nay ăn gì,mì tôm
có đang rảnh không bảo tâm_sự chuyện tình_cảm với tao với,tao đang rảnh nên cũng được
nó là của riêng tui và chỉ tui mới được thân_thiết với nó,chà
trường có câu lạc_bộ không,có
bạn đang học ngành gì đó,tôi học ngành công_nghệ thông_tin á
họ và tên,nguyễn thanh tùng
bạn tên là gì,mình tên là hiếu
thích mẫu người nào,dễ_thương tóc dài da trắng
quan_điểm về tình_yêu như thế_nào,nhẫn_nhịn
bạn nghĩ mình có nên thay_đổi bản_thân vì crush không,nếu theo hướng tốt thì nên ngược_lại thì bạn nên là chính mình nha
sáng đi chiều về cho nó chất,vậy thôi khỏi soạn gì cho mệt một bộ cho ngầu
trường có nhiều hoạt_động không,ko
pretty good,good for you
blue switch gõ nhiều ồn phiền người khác lắm chọn brown switch là hợp_lý,ừ vậy cũng được
thế còn học_thức,giỏi
à hôm_nay bạn vui hay buồn nhiều hơn,không vui cũng không buồn ha_ha
đang đi làm hay đi học,đang đi học
về với ai,gia_đình
sao tao thấy nó sạn nhiều quá,coi cũng được
bạn có bạn thân không,có
thế còn tây bắc,chưa được đi
bạn hay xem thể_loại phim nào,mình hay xem phim kinh_dị với khoa_học viễn_tưởng
gia_đình nhỏ của bạn hiện_tại có mấy người,có 4 người
bạn thường đi với ai trong quán cafe,mình đi với nhóm người bạn của mình
mày đang sống chung với gia_đình bạn mày à,không chung chả lẽ tao ở với mày
mày ăn gì khi rảnh,ăn gì thì tùy tâm_trạng vui_buồn
quê mày có gì ngon không,cà_phê nè
hay đi đâu,nước_ngoài
đồng_nghiệp sao,chuyên_nghiệp lắm
tao muốn mua cái áo_khoác,hãng nào mày
bây_giờ còn chơi thân hông,giờ cũng còn thân mà bớt rồi
ba mẹ ở dưới hả,ừ
bạn đang học môn gì vậy,nlp
bạn là sv năm mấy rồi,mình là sinh_viên năm 2 rồi
nay ăn gì,gì cũng được
bạn có the cho mình follow instagram của bạn được không,được chứ account tui là quoty
thế tao đặt vé lúc 19h nha đi được không,được bạn đặt ghế hàng g h gì đó nha
bạn tên gì,mình tên hạnh
cảm_ơn mày nha,không có gì đâu
hình gì có 2 cặp cạnh đối song_song bằng nhau,hình bình_hành
xin cho làm với,oke
ra trường làm gì,dev
muốn mua laptop gaming thì mua hãng gì thế,asus hoặc msi ngoài_ra tao thấy giờ acer với levono hơi bị nổi
crush có thói_quen gì,ngủ nhiều
vậy ở vĩnh long có đặt sản gì vậy bảo,1 số đặc_sản nổi_bật ở đó là bánh_ú cam_sành quả thanh_trà
chủ_nhật rảnh không,ừm rảnh
tôi đang có cảm_giác không vui,có_lẽ cậu cần một giấc_ngủ ấm_áp
môn thể_thao bạn ưa_thích là gì,bóng_đá
mình muốn hỏi khi nào bạn có dự_định về người_yêu,khi mình học xong
bạn không thấy mệt_mỏi khi cứ chạy mãi trong tâm_trí của mình sao,thính đâu mà bay lung_tung
bạn học khoa nào ngành gì,mình học khoa công_nghệ thông_tin ngành mạng máy_tính và truyền_thông dữ_liệu
cho mình xin địa_chỉ đi bạn,chi vậy bạn
tình_hình dịch có ảnh_hưởng nhiều lắm về công_việc không,khá nặng_nề đó
bạn được sinh ra ở đâu,ở ninh thuận bạn nhé
tui rủ bạn tui đi cùng nha,được á
giàu nghèo,nghèo
cậu đang dùng điện_thoại gì,mình xài ip đã được 3 năm rồi
cây eyeliner kia được không,lâu khô lắm
cho mình hỏi chủ nhà có khó không ạ,chủ nhà này rất hiền bạn nhé
mình cũng vậy nhưng mình chỉ nghe nhạc nước_ngoài thôi,ồ_vậy hay nghe nhạc của nước nào
bạn đang là sinh vien năm mấy,sinh_viên năm 4
có hay đi đá banh không,có
làm đó ổn không,khá ổn có lương
làm ở đâu,nhà_hàng món ăn thái
cho mình hỏi bạn tên gì,mình tên duy
bạn nghĩ sao về việc học đại_học,cũng khá áp_lực nhưng cảm_thấy trưởng_thành hơn rất nhiều
bạn là sinh_viên năm mấy vậy,minh sinh_viên năm 4
ghét môn_học nào,kỹ_năng phát_triển bền vừng
đi vào ngày nào,mùng 3 tết
cửa_hàng của mình có bán quần_áo không,có cửa_hàng mình bán cả áo thun của các nhãn hàng asus msi
bạn học thế_nào ở fpt,mình học rất là cực_khổ
thế nếu trời đang mưa mà mình chạy ra đường thì có bị ướt không,nếu bạn có che ô hay ngồi trong xe_hơi thì không bị ướt
thích ăn gì,ăn kem
thuê nhà ở đâu,gần trường
lương thế_nào,đủ sống à
thích uống gì,đồ uống ít ngọt
ừm để tao chọn cho,nhớ tới sớm nha
tết về quê,có
bạn có công_việc đàng_hoàng chưa,chưa cho lắm
nhà bạn có anh_chị_em không,nhà mình không có anh_chị_em ruột nhưng mình đang sống với anh_chị họ đấy
bạn thích nhất ăn món gì,mình thích ăn phở nhất
chào đã lâu không gặp,chào bạn
bạn sinh_viên trường nào,mình sinh_viên trường tôn đức thắng
chán cơm thèm phở hay chán phở thèm cơm,chán cơm thèm hủ_tiếu tao không thích phở
tại_sao bạn lại tồn_tại sự tồn_tại của bạn mang ý_nghĩa gì,tôi tồn_tại vì thế_giới cần tôi mang thế_giới phát_triển
bạn cũng có_thể thử tới santorini,nơi đó ở đâu_vậy
thuê nhà ở đâu,quận 7
điểm du_lịch nào khiến bạn đi một lần nhớ mãi,đà_lạt
bạn học ngành gì,ngành dinh_dưỡng đó bạn
nhà bạn ở quận nào,nhà mình ở quận 7
bạn có_thể cho mình biết nhà bạn ở đâu không,nhà mình ở quận 4 thành_phố hồ chí minh đó bạn
hay đi chơi thể_thao không,chơi lúc rảnh_rỗi
nay tôi buồn quá,không sao rồi mọi chuyện sẽ qua thôi
cho mình hỏi thông_tin quê bạn ở nước nào,việt_nam
làm_ơn cho mình biết bạn có nhiều bạn không,quá nhiều luôn nhưng rất ít bạn thân
bạn có nhiều người bạn thân không,mình có 3 người bạn thân
bạn thích người_yêu như thế_nào,mình thích người cũng thích mình
bạn nghĩ sao về việc kêt bạn qua mạng,mình nghĩ sẽ thật tuyệt
ngành_nghề ông thích là gì,đóng phim
quan điệm yêu đường của mày,yêu_thương nhau
tưởng để tiền mua đt,không mua trả_góp
trường bạn học ở đâu,trường mình học tân_phong
bạn hiện đang làm công_việc gì,tôi là lập_trình_viên
chung_cư hay nhà_trọ sinh_viên,chung_cư
nhà ở đâu,bình_dương
bạn đang sống ở đâu,mình sống ở thành_phố hồ chí minh
samsung hay iphone tốt hơn,samsung
newworld,chỗ này được
tôi thấy hơi đau,không sao đâu hết đau ngay ấy mà
còn bạn bạn muốn làm gì sau khi ra trường,mình chắc đi theo ba vì mình mạnh bên phân_tích yêu_cầu
ở quê bạn có du_lịch nổi_tiếng không,quê mình có du_lịch rất nổi_tiếng
mình nghe nói trường mình đạt chuẩn quốc_tế không biết có thật không ạ,thật chứ không tin thì cứ tra google sẽ rõ
người_yêu mày thích gì,thích tao
xong rồi nhập tiệc thôi,tặng cậu nè
vậy dạo này bạn có thường_xuyên đi du_lịch không,không có luôn
gia_đình có nhưng ai,có ba mẹ 2 em
một năm bạn về quê mấy lần,mỗi năm 1 lần bạn
ở trường tđt mặc đồng_phục như thế_nào,nữ sẽ mặc áo_dài hồng nam mặc áo sơ_mi trắng
bạn có đi học thêm bên ngoài không,mình có đi học thêm tiếng anh bên ngoài
bạn mới mua điện_thoại mới hả,ừa mình mới mua điện_thoại mới
what là cái gì,là gi ai biết
bạn có yêu nước không,dĩ_nhiên là có rồi
bạn có nhiều bạn_bè không,mình có
trường có tổ_chức hoạt_động vui_chơi cho sinh_viên không ạ,các khoa_trường mình năm nào cũng có tổ_chức nhiều hoạt_động cho sinh_viên nha
đi đà_lạt mang mấy bộ đồ là đủ,mang tầm 4 bộ đi để có gì dơ thì thay
tao cần máy để chơi game,budget mua máy của mày là bao_nhiêu
thật_ra cô ấy nói cô ấy có biết cậu đấy n à,ra_vậy
thích tác_phẩm nào nhất của nam_cao,chí phèo
có nước_máy không,có
ở miền tây hả,chính_xác
bạn cho mình hỏi tên bạn là gì,tên tớ là lan
bạn thường đi chơi ở các địa_điểm nào,mình hay đi phố đi bộ hồ con rùa cầu ánh sao
bạn có nhu_cầu muốn mua của hãng nào,mình muốn mua của dell
cậu có thích ai không,tớ có cậu
giới_hạn thể_loại đi để tui tìm game chơi,vậy game bắn súng đi
học ngành nào,kỹ_thuật phần_mềm
bạn cho mình hỏi tên bạn là gì,mình tên là cường
đi đâu,đà_lạt
bố_mẹ của bạn có khoẻ không,ba mẹ mình ổn
bạn cho mình hỏi bạn học trường nào,mình học trường đại_học tôn đức thắng
vậy bạn thường_xuyên shoping bằng hình_thức gì,tui mua online á
thế ai là người đã đi tìm đường cứu nước,là chủ_tịch hồ chí minh
anhchịem bạn tên gì,đoán tiếp đi
okay chốt nhá,okay nhớ 9h đến rạp
quê đâu,quảng_bình
bạn có yêu trường không,có chứ mình rất yêu trường
anh ơi sắp đến 29 rồi anh có gì tặng em không,không em ơi anh mệt rồi
bạn_bè như nào,dễ mến
bạn cho mình hỏi bạn ở cùng ai vào dịp tết,tớ thường ở cùng gia_đình vào dịp tết
thường rảnh thì đi đâu,đi nhà_sách
